year,breed,dog,owner(s)
1907,Smooth Fox Terrier,Ch. Warren Remedy,Winthrop Rutherfurd
1908,Smooth Fox Terrier,Ch. Warren Remedy,Winthrop Rutherfurd
1909,Smooth Fox Terrier,Ch. Warren Remedy,Winthrop Rutherfurd
1910,Smooth Fox Terrier,Ch. Sabine Rarebit,Sabine Kennels
1911,Scottish Terrier,Ch. Tickle Em Jock,"A. Albright, Jr."
1912,Airedale Terrier,Ch. Kenmare Sorceress,William P. Wolcott
1913,Bulldog,Ch. Strathtay Prince Albert,Alex H. Stewart
1914,Old English Sheepdog,Ch. Slumber,Mrs. Tyler Morse
1915,Wire Fox Terrier,Ch. Matford Vic,George W. Quintard
1916,Wire Fox Terrier,Ch. Matford Vic,George W. Quintard
1917,Wire Fox Terrier,Ch. Conejo Wycollar Boy,Mrs. Roy A. Rainey
1918,Bull Terrier (White),Ch. Haymarket Faultless,R. H. Elliot
1919,Airedale Terrier,Ch. Briergate Bright Beauty,G. L. Davis
1920,Wire Fox Terrier,Ch. Conejo Wycollar Boy,Mrs. Roy A. Rainey
1921,Cocker Spaniel (Parti-Color),Ch. Midkiff Seductive,William T. Payne
1922,Airedale Terrier,Ch. Boxwood Barkentine,Frederic C. Hood
1924,Sealyham Terrier,Ch. Barberryhill Bootlegger,Bayard Warren
1925,Pointer,Ch. Governor Moscow,Robert F. Maloney
1926,Wire Fox Terrier,Ch. Signal Circuit of Halleston,Halleston Kennels
1927,Sealyham Terrier,Ch. Pinegrade Perfection,Frederic C. Brown
1928,Wire Fox Terrier,Ch. Talavera Margaret,R. M. Lewis
1929,Collie (Rough),Laund Loyalty of Bellhaven,Mrs. Florence B. Ilch
1930,Wire Fox Terrier,Ch. Pendley Calling of Blarney,John G. Bates
1931,Wire Fox Terrier,Ch. Pendley Calling of Blarney,John G. Bates
1932,Pointer,Ch. Nancolleth Markable,Giralda Farms
1933,Airedale Terrier,Ch. Warland Protector of Shelterock,S. M. Stewart
1934,Wire Fox Terrier,Ch. Flornell Spicy Bit of Halleston,Halleston Kennels
1935,Poodle (Standard),Ch. Nunsoe Duc de la Terrace of Blakeen,Blakeen Kennels
1936,Sealyham Terrier,Ch. St Margaret Mignificent of Claredale,Claredale Kennels
1937,Wire Fox Terrier,Ch. Flornell Spicy Piece of Halleston,Halleston Kennels
1938,English Setter,Daro of Maridor,Maridor Kennels
1939,Doberman Pinscher,Ferry v Rauhfelsen of Giralda,Giralda Farms
1940,Cocker Spaniel (Black),Ch. My Own Brucie,H. E. Mellenthin
1941,Cocker Spaniel (Black),Ch. My Own Brucie,H. E. Mellenthin
1942,West Highland White Terrier,Ch. Wolvey Pattern of Edgerstoune,Mrs. J. G. Winant
